Teks,Label
Warga Maluku panik akibat getaran kuat gempa berkekuatan 4.4 pada 13 Agustus 2014.,Gempa Bumi
Gempa bumi berkekuatan 4.7 melanda Lampung dengan guncangan hebat pada 19 Desember 2015.,Gempa Bumi
Warga Jakarta panik akibat hentakan dahsyat gempa berkekuatan 7.2 pada 13 September 2012.,Gempa Bumi
Sulawesi Selatan diguncang gempa magnitudo 6.1 yang memicu kehancuran bangunan pada 20 Desember 2003.,Gempa Bumi
Gempa bumi berkekuatan 8.0 melanda Maluku dengan goyangan keras pada 14 Agustus 2000.,Gempa Bumi
Gempa bumi berkekuatan 7.5 melanda Jawa Tengah dengan guncangan hebat pada 8 Januari 2009.,Gempa Bumi
Kalimantan Barat diguncang gempa magnitudo 7.2 yang memicu kerusakan parah pada 9 Januari 2020.,Gempa Bumi
Warga Kalimantan Utara panik akibat getaran kuat gempa berkekuatan 7.0 pada 11 Januari 2014.,Gempa Bumi
Warga Sulawesi Selatan panik akibat getaran kuat gempa berkekuatan 6.3 pada 21 Juni 2003.,Gempa Bumi
Gempa bumi berkekuatan 7.2 melanda Sumatera Selatan dengan guncangan hebat pada 12 Februari 2020.,Gempa Bumi
Warga Maluku Utara panik akibat guncangan hebat gempa berkekuatan 8.0 pada 3 Januari 2005.,Gempa Bumi
Warga Sulawesi Tengah panik akibat goyangan keras gempa berkekuatan 7.9 pada 17 Februari 2015.,Gempa Bumi
Nusa Tenggara Barat diguncang gempa magnitudo 8.9 yang memicu retakan dinding pada 6 Februari 2022.,Gempa Bumi
Lampung diguncang gempa magnitudo 4.2 yang memicu runtuhnya rumah pada 5 November 2009.,Gempa Bumi
Warga Kalimantan Selatan panik akibat getaran kuat gempa berkekuatan 7.5 pada 21 Agustus 2013.,Gempa Bumi
Gempa bumi berkekuatan 5.2 melanda Nusa Tenggara Barat dengan goyangan keras pada 5 Januari 2005.,Gempa Bumi
Gempa bumi berkekuatan 8.6 melanda Sulawesi Utara dengan goyangan keras pada 17 November 2002.,Gempa Bumi
Gempa bumi berkekuatan 5.1 melanda Jakarta dengan hentakan dahsyat pada 12 November 2002.,Gempa Bumi
Warga Sulawesi Selatan panik akibat hentakan dahsyat gempa berkekuatan 8.2 pada 25 Agustus 2001.,Gempa Bumi
Gempa bumi berkekuatan 5.9 melanda Banten dengan goyangan keras pada 1 Desember 2011.,Gempa Bumi
Warga Nusa Tenggara Timur panik akibat getaran kuat gempa berkekuatan 6.5 pada 17 Maret 2007.,Gempa Bumi
Warga Nusa Tenggara Timur panik akibat hentakan dahsyat gempa berkekuatan 4.8 pada 5 April 2014.,Gempa Bumi
"Terjadi gempa tektonik di Papua dengan magnitudo 5.5, menyebabkan kerusakan parah pada 4 November 2023.",Gempa Bumi
Sumatera Barat diguncang gempa magnitudo 4.7 yang memicu kehancuran bangunan pada 3 Oktober 2018.,Gempa Bumi
Gempa bumi berkekuatan 5.3 melanda Banten dengan getaran kuat pada 13 April 2013.,Gempa Bumi
Gempa bumi berkekuatan 5.7 melanda Jawa Barat dengan getaran kuat pada 18 Juli 2007.,Gempa Bumi
Warga Gorontalo panik akibat guncangan hebat gempa berkekuatan 4.3 pada 2 Oktober 2008.,Gempa Bumi
Gempa bumi berkekuatan 8.7 melanda Sumatera Selatan dengan getaran kuat pada 16 Maret 2019.,Gempa Bumi
"Terjadi gempa tektonik di Kepulauan Riau dengan magnitudo 5.7, menyebabkan runtuhnya rumah pada 25 Juli 2015.",Gempa Bumi
Warga Maluku Utara panik akibat getaran kuat gempa berkekuatan 4.8 pada 6 Desember 2005.,Gempa Bumi
Nusa Tenggara Timur diguncang gempa magnitudo 4.5 yang memicu kehancuran bangunan pada 24 November 2007.,Gempa Bumi
Warga Sulawesi Barat panik akibat getaran kuat gempa berkekuatan 7.0 pada 13 Januari 2004.,Gempa Bumi
Warga Jambi panik akibat getaran kuat gempa berkekuatan 6.8 pada 26 Desember 2005.,Gempa Bumi
Warga Nusa Tenggara Barat panik akibat goyangan keras gempa berkekuatan 8.1 pada 19 Maret 2023.,Gempa Bumi
Papua diguncang gempa magnitudo 9.0 yang memicu runtuhnya rumah pada 21 April 2022.,Gempa Bumi
"Terjadi gempa tektonik di Maluku dengan magnitudo 8.3, menyebabkan kerusakan parah pada 28 November 2021.",Gempa Bumi
"Terjadi gempa tektonik di Papua Barat dengan magnitudo 6.3, menyebabkan retakan dinding pada 21 Desember 2001.",Gempa Bumi
Nusa Tenggara Timur diguncang gempa magnitudo 7.2 yang memicu runtuhnya rumah pada 25 November 2022.,Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Utara dengan magnitudo 7.4, menyebabkan retakan dinding pada 21 November 2019.",Gempa Bumi
Kalimantan Tengah diguncang gempa magnitudo 8.9 yang memicu retakan dinding pada 21 Januari 2009.,Gempa Bumi
Bangka Belitung diguncang gempa magnitudo 5.3 yang memicu retakan dinding pada 11 Maret 2009.,Gempa Bumi
Warga Nusa Tenggara Timur panik akibat hentakan dahsyat gempa berkekuatan 4.4 pada 28 Maret 2014.,Gempa Bumi
"Terjadi gempa tektonik di Kepulauan Riau dengan magnitudo 4.2, menyebabkan retakan dinding pada 7 Desember 2012.",Gempa Bumi
Yogyakarta diguncang gempa magnitudo 8.2 yang memicu retakan dinding pada 1 Mei 2006.,Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Selatan dengan magnitudo 8.1, menyebabkan runtuhnya rumah pada 19 Mei 2016.",Gempa Bumi
Jawa Tengah diguncang gempa magnitudo 5.2 yang memicu kerusakan parah pada 20 Mei 2015.,Gempa Bumi
"Terjadi gempa tektonik di Lampung dengan magnitudo 7.1, menyebabkan runtuhnya rumah pada 11 Agustus 2007.",Gempa Bumi
Warga Jawa Tengah panik akibat getaran kuat gempa berkekuatan 8.4 pada 16 Desember 2010.,Gempa Bumi
"Terjadi gempa tektonik di Bengkulu dengan magnitudo 6.8, menyebabkan kerusakan parah pada 1 Februari 2014.",Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Barat dengan magnitudo 6.6, menyebabkan retakan dinding pada 6 Oktober 2014.",Gempa Bumi
Warga Banten panik akibat getaran kuat gempa berkekuatan 7.5 pada 4 April 2011.,Gempa Bumi
Kalimantan Tengah diguncang gempa magnitudo 5.2 yang memicu kehancuran bangunan pada 7 April 2013.,Gempa Bumi
Warga Maluku Utara panik akibat hentakan dahsyat gempa berkekuatan 8.1 pada 8 Desember 2009.,Gempa Bumi
Warga Banten panik akibat goyangan keras gempa berkekuatan 4.4 pada 28 Oktober 2015.,Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Tengah dengan magnitudo 5.5, menyebabkan kehancuran bangunan pada 13 Mei 2017.",Gempa Bumi
Kalimantan Timur diguncang gempa magnitudo 6.4 yang memicu kehancuran bangunan pada 21 April 2016.,Gempa Bumi
Warga Jawa Barat panik akibat guncangan hebat gempa berkekuatan 5.2 pada 19 Januari 2000.,Gempa Bumi
Gempa bumi berkekuatan 4.3 melanda Gorontalo dengan guncangan hebat pada 17 Oktober 2005.,Gempa Bumi
"Terjadi gempa tektonik di Jawa Tengah dengan magnitudo 4.2, menyebabkan runtuhnya rumah pada 24 Mei 2004.",Gempa Bumi
Kalimantan Tengah diguncang gempa magnitudo 8.1 yang memicu kerusakan parah pada 18 April 2013.,Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Barat dengan magnitudo 7.4, menyebabkan kehancuran bangunan pada 8 Desember 2017.",Gempa Bumi
Jakarta diguncang gempa magnitudo 7.6 yang memicu kerusakan parah pada 24 Oktober 2021.,Gempa Bumi
Gempa bumi berkekuatan 4.3 melanda Jawa Timur dengan guncangan hebat pada 25 April 2003.,Gempa Bumi
Gempa bumi berkekuatan 7.8 melanda Kalimantan Tengah dengan goyangan keras pada 18 Oktober 2014.,Gempa Bumi
Gempa bumi berkekuatan 4.2 melanda Kalimantan Barat dengan getaran kuat pada 20 Desember 2002.,Gempa Bumi
Sulawesi Utara diguncang gempa magnitudo 4.5 yang memicu retakan dinding pada 23 Juni 2022.,Gempa Bumi
Warga Bali panik akibat guncangan hebat gempa berkekuatan 6.4 pada 26 September 2002.,Gempa Bumi
Gempa bumi berkekuatan 8.5 melanda Maluku dengan hentakan dahsyat pada 27 Maret 2006.,Gempa Bumi
"Terjadi gempa tektonik di Nusa Tenggara Barat dengan magnitudo 4.6, menyebabkan kerusakan parah pada 2 November 2017.",Gempa Bumi
Jambi diguncang gempa magnitudo 8.2 yang memicu kerusakan parah pada 22 April 2003.,Gempa Bumi
Warga Maluku Utara panik akibat getaran kuat gempa berkekuatan 8.7 pada 27 Juli 2005.,Gempa Bumi
Warga Banten panik akibat goyangan keras gempa berkekuatan 8.3 pada 23 September 2012.,Gempa Bumi
Warga Maluku Utara panik akibat goyangan keras gempa berkekuatan 7.7 pada 4 Oktober 2008.,Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Selatan dengan magnitudo 5.7, menyebabkan runtuhnya rumah pada 14 Maret 2005.",Gempa Bumi
Nusa Tenggara Timur diguncang gempa magnitudo 8.7 yang memicu kerusakan parah pada 27 Januari 2011.,Gempa Bumi
Gempa bumi berkekuatan 5.4 melanda Kepulauan Riau dengan guncangan hebat pada 12 September 2014.,Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Tengah dengan magnitudo 4.8, menyebabkan retakan dinding pada 14 Februari 2010.",Gempa Bumi
Gempa bumi berkekuatan 5.9 melanda Jakarta dengan guncangan hebat pada 12 Agustus 2018.,Gempa Bumi
Gempa bumi berkekuatan 5.6 melanda Gorontalo dengan hentakan dahsyat pada 17 November 2021.,Gempa Bumi
Gempa bumi berkekuatan 6.2 melanda Jambi dengan getaran kuat pada 11 Januari 2020.,Gempa Bumi
Sumatera Selatan diguncang gempa magnitudo 6.5 yang memicu retakan dinding pada 27 April 2010.,Gempa Bumi
Sulawesi Selatan diguncang gempa magnitudo 5.9 yang memicu retakan dinding pada 2 Maret 2005.,Gempa Bumi
Warga Aceh panik akibat getaran kuat gempa berkekuatan 9.0 pada 8 Oktober 2023.,Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Barat dengan magnitudo 6.3, menyebabkan retakan dinding pada 23 Juni 2007.",Gempa Bumi
Sumatera Selatan diguncang gempa magnitudo 9.0 yang memicu kerusakan parah pada 26 Januari 2005.,Gempa Bumi
Gempa bumi berkekuatan 4.6 melanda Kalimantan Timur dengan guncangan hebat pada 12 Juli 2016.,Gempa Bumi
Jawa Barat diguncang gempa magnitudo 8.6 yang memicu runtuhnya rumah pada 26 November 2021.,Gempa Bumi
Warga Sulawesi Tengah panik akibat hentakan dahsyat gempa berkekuatan 8.2 pada 13 Mei 2004.,Gempa Bumi
Gempa bumi berkekuatan 6.7 melanda Sumatera Selatan dengan goyangan keras pada 12 Mei 2000.,Gempa Bumi
Warga Riau panik akibat hentakan dahsyat gempa berkekuatan 6.0 pada 19 Agustus 2019.,Gempa Bumi
Bangka Belitung diguncang gempa magnitudo 6.1 yang memicu kehancuran bangunan pada 20 Maret 2009.,Gempa Bumi
Kalimantan Timur diguncang gempa magnitudo 5.3 yang memicu kehancuran bangunan pada 17 Juli 2019.,Gempa Bumi
"Terjadi gempa tektonik di Maluku Utara dengan magnitudo 7.2, menyebabkan kehancuran bangunan pada 14 Juli 2001.",Gempa Bumi
"Terjadi gempa tektonik di Maluku dengan magnitudo 5.8, menyebabkan runtuhnya rumah pada 15 Januari 2002.",Gempa Bumi
Warga Sumatera Utara panik akibat guncangan hebat gempa berkekuatan 7.3 pada 13 Juli 2008.,Gempa Bumi
"Terjadi gempa tektonik di Sumatera Barat dengan magnitudo 5.9, menyebabkan retakan dinding pada 27 Juli 2012.",Gempa Bumi
Gorontalo diguncang gempa magnitudo 5.4 yang memicu kerusakan parah pada 12 Oktober 2008.,Gempa Bumi
Warga Sulawesi Tenggara panik akibat goyangan keras gempa berkekuatan 7.6 pada 15 Juli 2014.,Gempa Bumi
Gempa bumi berkekuatan 8.2 melanda Kalimantan Selatan dengan getaran kuat pada 23 September 2016.,Gempa Bumi
Sumatera Barat diguncang gempa magnitudo 4.9 yang memicu retakan dinding pada 8 Oktober 2017.,Gempa Bumi
Sulawesi Selatan diguncang gempa magnitudo 4.7 yang memicu kerusakan parah pada 2 Oktober 2014.,Gempa Bumi
"Terjadi gempa tektonik di Jawa Tengah dengan magnitudo 5.0, menyebabkan retakan dinding pada 25 Oktober 2016.",Gempa Bumi
Gempa bumi berkekuatan 5.8 melanda Gorontalo dengan guncangan hebat pada 12 Februari 2015.,Gempa Bumi
Warga Gorontalo panik akibat goyangan keras gempa berkekuatan 7.0 pada 10 Juni 2002.,Gempa Bumi
Gempa bumi berkekuatan 4.6 melanda Nusa Tenggara Timur dengan guncangan hebat pada 11 November 2011.,Gempa Bumi
"Terjadi gempa tektonik di Riau dengan magnitudo 6.6, menyebabkan kerusakan parah pada 27 September 2006.",Gempa Bumi
Gempa bumi berkekuatan 4.4 melanda Riau dengan getaran kuat pada 2 Januari 2021.,Gempa Bumi
Jambi diguncang gempa magnitudo 5.8 yang memicu kerusakan parah pada 21 April 2020.,Gempa Bumi
Gempa bumi berkekuatan 8.5 melanda Sulawesi Tenggara dengan goyangan keras pada 11 Desember 2004.,Gempa Bumi
Jawa Tengah diguncang gempa magnitudo 5.1 yang memicu retakan dinding pada 11 November 2007.,Gempa Bumi
Kalimantan Selatan diguncang gempa magnitudo 5.3 yang memicu kerusakan parah pada 15 April 2010.,Gempa Bumi
Gempa bumi berkekuatan 5.2 melanda Kalimantan Timur dengan guncangan hebat pada 27 September 2020.,Gempa Bumi
Gempa bumi berkekuatan 5.3 melanda Kepulauan Riau dengan guncangan hebat pada 24 Oktober 2013.,Gempa Bumi
"Terjadi gempa tektonik di Maluku Utara dengan magnitudo 8.0, menyebabkan runtuhnya rumah pada 20 Desember 2003.",Gempa Bumi
Jawa Barat diguncang gempa magnitudo 4.7 yang memicu kehancuran bangunan pada 9 Februari 2012.,Gempa Bumi
Gempa bumi berkekuatan 7.2 melanda Jawa Timur dengan hentakan dahsyat pada 4 Februari 2005.,Gempa Bumi
Kalimantan Utara diguncang gempa magnitudo 7.2 yang memicu kerusakan parah pada 19 Oktober 2005.,Gempa Bumi
Sulawesi Utara diguncang gempa magnitudo 6.6 yang memicu runtuhnya rumah pada 27 Agustus 2022.,Gempa Bumi
Gempa bumi berkekuatan 4.4 melanda Nusa Tenggara Barat dengan goyangan keras pada 9 November 2014.,Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Tengah dengan magnitudo 4.8, menyebabkan kehancuran bangunan pada 19 Mei 2020.",Gempa Bumi
Warga Papua Barat panik akibat goyangan keras gempa berkekuatan 7.5 pada 16 Desember 2009.,Gempa Bumi
Gempa bumi berkekuatan 8.0 melanda Yogyakarta dengan goyangan keras pada 20 Oktober 2016.,Gempa Bumi
"Terjadi gempa tektonik di Sumatera Utara dengan magnitudo 5.6, menyebabkan kerusakan parah pada 1 Januari 2023.",Gempa Bumi
Nusa Tenggara Barat diguncang gempa magnitudo 4.9 yang memicu kerusakan parah pada 27 November 2008.,Gempa Bumi
"Terjadi gempa tektonik di Papua dengan magnitudo 6.6, menyebabkan kehancuran bangunan pada 13 November 2010.",Gempa Bumi
"Terjadi gempa tektonik di Jawa Barat dengan magnitudo 7.4, menyebabkan kerusakan parah pada 18 Juli 2014.",Gempa Bumi
"Terjadi gempa tektonik di Jawa Tengah dengan magnitudo 6.0, menyebabkan retakan dinding pada 13 Mei 2021.",Gempa Bumi
Gempa bumi berkekuatan 4.4 melanda Sulawesi Utara dengan getaran kuat pada 22 November 2020.,Gempa Bumi
Sulawesi Barat diguncang gempa magnitudo 8.4 yang memicu kehancuran bangunan pada 1 Desember 2002.,Gempa Bumi
Warga Riau panik akibat hentakan dahsyat gempa berkekuatan 7.8 pada 21 September 2004.,Gempa Bumi
Warga Nusa Tenggara Timur panik akibat hentakan dahsyat gempa berkekuatan 7.0 pada 10 Juli 2019.,Gempa Bumi
"Terjadi gempa tektonik di Bangka Belitung dengan magnitudo 5.1, menyebabkan retakan dinding pada 22 Januari 2023.",Gempa Bumi
Nusa Tenggara Timur diguncang gempa magnitudo 5.6 yang memicu runtuhnya rumah pada 7 Maret 2017.,Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Tenggara dengan magnitudo 6.5, menyebabkan retakan dinding pada 3 Maret 2006.",Gempa Bumi
Riau diguncang gempa magnitudo 8.1 yang memicu retakan dinding pada 10 Maret 2008.,Gempa Bumi
"Terjadi gempa tektonik di Yogyakarta dengan magnitudo 6.0, menyebabkan kehancuran bangunan pada 15 Februari 2014.",Gempa Bumi
Sumatera Barat diguncang gempa magnitudo 5.5 yang memicu runtuhnya rumah pada 7 Mei 2007.,Gempa Bumi
Gempa bumi berkekuatan 6.5 melanda Sulawesi Tengah dengan getaran kuat pada 26 Agustus 2003.,Gempa Bumi
Warga Bangka Belitung panik akibat goyangan keras gempa berkekuatan 4.8 pada 25 April 2015.,Gempa Bumi
"Terjadi gempa tektonik di Jawa Timur dengan magnitudo 5.8, menyebabkan retakan dinding pada 10 Juni 2010.",Gempa Bumi
Warga Banten panik akibat getaran kuat gempa berkekuatan 8.5 pada 4 Mei 2000.,Gempa Bumi
Gempa bumi berkekuatan 9.0 melanda Nusa Tenggara Timur dengan guncangan hebat pada 21 Agustus 2019.,Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Tengah dengan magnitudo 6.4, menyebabkan retakan dinding pada 22 Oktober 2023.",Gempa Bumi
Gempa bumi berkekuatan 4.7 melanda Jakarta dengan hentakan dahsyat pada 18 Januari 2011.,Gempa Bumi
Lampung diguncang gempa magnitudo 7.8 yang memicu kerusakan parah pada 7 September 2006.,Gempa Bumi
Jakarta diguncang gempa magnitudo 8.8 yang memicu kerusakan parah pada 21 November 2002.,Gempa Bumi
Gempa bumi berkekuatan 8.6 melanda Gorontalo dengan guncangan hebat pada 9 Juli 2013.,Gempa Bumi
Warga Jawa Barat panik akibat goyangan keras gempa berkekuatan 5.7 pada 26 Juli 2002.,Gempa Bumi
Jawa Tengah diguncang gempa magnitudo 7.3 yang memicu retakan dinding pada 3 Mei 2004.,Gempa Bumi
Warga Sulawesi Tengah panik akibat getaran kuat gempa berkekuatan 7.6 pada 6 Juli 2002.,Gempa Bumi
Gempa bumi berkekuatan 8.7 melanda Sulawesi Tengah dengan hentakan dahsyat pada 16 Mei 2022.,Gempa Bumi
Gempa bumi berkekuatan 7.8 melanda Bali dengan goyangan keras pada 6 September 2022.,Gempa Bumi
Sulawesi Selatan diguncang gempa magnitudo 4.0 yang memicu runtuhnya rumah pada 18 Agustus 2017.,Gempa Bumi
Warga Gorontalo panik akibat getaran kuat gempa berkekuatan 5.4 pada 8 Juni 2015.,Gempa Bumi
Gempa bumi berkekuatan 7.9 melanda Banten dengan getaran kuat pada 5 Juni 2021.,Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Selatan dengan magnitudo 5.4, menyebabkan kerusakan parah pada 9 Mei 2022.",Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Tengah dengan magnitudo 4.5, menyebabkan retakan dinding pada 11 November 2002.",Gempa Bumi
Kalimantan Selatan diguncang gempa magnitudo 7.0 yang memicu kehancuran bangunan pada 20 Desember 2005.,Gempa Bumi
"Terjadi gempa tektonik di Gorontalo dengan magnitudo 5.4, menyebabkan kerusakan parah pada 28 September 2014.",Gempa Bumi
Warga Jawa Barat panik akibat guncangan hebat gempa berkekuatan 8.8 pada 6 Februari 2005.,Gempa Bumi
Warga Lampung panik akibat getaran kuat gempa berkekuatan 6.3 pada 1 April 2007.,Gempa Bumi
Gempa bumi berkekuatan 6.3 melanda Yogyakarta dengan goyangan keras pada 16 Februari 2004.,Gempa Bumi
Gempa bumi berkekuatan 4.6 melanda Gorontalo dengan getaran kuat pada 19 Desember 2023.,Gempa Bumi
"Terjadi gempa tektonik di Jawa Barat dengan magnitudo 8.4, menyebabkan kehancuran bangunan pada 26 Januari 2013.",Gempa Bumi
Lampung diguncang gempa magnitudo 4.7 yang memicu runtuhnya rumah pada 1 September 2023.,Gempa Bumi
Gempa bumi berkekuatan 6.1 melanda Sulawesi Barat dengan hentakan dahsyat pada 11 Desember 2016.,Gempa Bumi
Gempa bumi berkekuatan 9.0 melanda Sumatera Barat dengan goyangan keras pada 25 Maret 2010.,Gempa Bumi
"Terjadi gempa tektonik di Maluku Utara dengan magnitudo 4.3, menyebabkan kerusakan parah pada 27 Oktober 2023.",Gempa Bumi
Gempa bumi berkekuatan 8.4 melanda Gorontalo dengan goyangan keras pada 23 April 2019.,Gempa Bumi
Gempa bumi berkekuatan 5.8 melanda Maluku dengan guncangan hebat pada 11 Januari 2000.,Gempa Bumi
"Terjadi gempa tektonik di Bengkulu dengan magnitudo 8.2, menyebabkan runtuhnya rumah pada 7 Juni 2008.",Gempa Bumi
"Terjadi gempa tektonik di Banten dengan magnitudo 4.1, menyebabkan kehancuran bangunan pada 2 Juni 2019.",Gempa Bumi
Banten diguncang gempa magnitudo 5.6 yang memicu kehancuran bangunan pada 18 September 2000.,Gempa Bumi
Gempa bumi berkekuatan 6.6 melanda Sulawesi Selatan dengan goyangan keras pada 26 Agustus 2004.,Gempa Bumi
Gempa bumi berkekuatan 6.2 melanda Bengkulu dengan guncangan hebat pada 14 Maret 2017.,Gempa Bumi
"Terjadi gempa tektonik di Jawa Tengah dengan magnitudo 7.0, menyebabkan kehancuran bangunan pada 15 Oktober 2006.",Gempa Bumi
Kalimantan Tengah diguncang gempa magnitudo 8.5 yang memicu retakan dinding pada 21 Maret 2008.,Gempa Bumi
Warga Bengkulu panik akibat goyangan keras gempa berkekuatan 5.7 pada 26 Desember 2000.,Gempa Bumi
Papua diguncang gempa magnitudo 6.0 yang memicu kerusakan parah pada 10 September 2016.,Gempa Bumi
Warga Sumatera Barat panik akibat hentakan dahsyat gempa berkekuatan 5.9 pada 16 Oktober 2002.,Gempa Bumi
Warga Papua Barat panik akibat getaran kuat gempa berkekuatan 6.3 pada 5 Februari 2004.,Gempa Bumi
Jawa Timur diguncang gempa magnitudo 7.0 yang memicu runtuhnya rumah pada 12 Desember 2016.,Gempa Bumi
Gempa bumi berkekuatan 6.6 melanda Kalimantan Tengah dengan goyangan keras pada 23 Juli 2009.,Gempa Bumi
"Terjadi gempa tektonik di Papua Barat dengan magnitudo 4.9, menyebabkan runtuhnya rumah pada 16 Desember 2003.",Gempa Bumi
Gempa bumi berkekuatan 4.7 melanda Gorontalo dengan goyangan keras pada 24 Juni 2001.,Gempa Bumi
Warga Jawa Barat panik akibat getaran kuat gempa berkekuatan 5.3 pada 21 Februari 2011.,Gempa Bumi
"Terjadi gempa tektonik di Kepulauan Riau dengan magnitudo 7.9, menyebabkan retakan dinding pada 1 April 2018.",Gempa Bumi
Gempa bumi berkekuatan 5.6 melanda Jakarta dengan getaran kuat pada 14 September 2020.,Gempa Bumi
Bengkulu diguncang gempa magnitudo 5.4 yang memicu runtuhnya rumah pada 22 Juni 2008.,Gempa Bumi
Sulawesi Utara diguncang gempa magnitudo 5.3 yang memicu retakan dinding pada 26 Juni 2003.,Gempa Bumi
"Terjadi gempa tektonik di Bengkulu dengan magnitudo 5.7, menyebabkan kerusakan parah pada 11 Juli 2009.",Gempa Bumi
Sumatera Utara diguncang gempa magnitudo 6.5 yang memicu retakan dinding pada 16 Desember 2013.,Gempa Bumi
"Terjadi gempa tektonik di Sumatera Barat dengan magnitudo 6.4, menyebabkan kerusakan parah pada 14 September 2016.",Gempa Bumi
Kalimantan Barat diguncang gempa magnitudo 8.4 yang memicu kerusakan parah pada 5 Juni 2014.,Gempa Bumi
"Terjadi gempa tektonik di Sulawesi Selatan dengan magnitudo 7.1, menyebabkan retakan dinding pada 3 September 2016.",Gempa Bumi
Sulawesi Utara diguncang gempa magnitudo 5.1 yang memicu kehancuran bangunan pada 8 Agustus 2006.,Gempa Bumi
"Terjadi gempa tektonik di Kalimantan Selatan dengan magnitudo 8.0, menyebabkan kehancuran bangunan pada 12 Desember 2022.",Gempa Bumi
Gempa bumi berkekuatan 6.2 melanda Kalimantan Tengah dengan hentakan dahsyat pada 19 November 2003.,Gempa Bumi
Warga Sumatera Barat panik akibat guncangan hebat gempa berkekuatan 8.0 pada 26 November 2002.,Gempa Bumi
Gempa bumi berkekuatan 8.6 melanda Kepulauan Riau dengan hentakan dahsyat pada 26 Januari 2022.,Gempa Bumi
Gempa bumi berkekuatan 7.5 melanda Banten dengan getaran kuat pada 11 Desember 2015.,Gempa Bumi
"Terjadi gempa tektonik di Sumatera Utara dengan magnitudo 8.1, menyebabkan retakan dinding pada 28 Juli 2019.",Gempa Bumi
Gempa bumi berkekuatan 9.0 melanda Lampung dengan guncangan hebat pada 8 Februari 2007.,Gempa Bumi
"Terjadi gempa tektonik di Sumatera Utara dengan magnitudo 8.7, menyebabkan kehancuran bangunan pada 7 November 2004.",Gempa Bumi
Warga Sumatera Barat panik akibat getaran kuat gempa berkekuatan 7.3 pada 28 Juli 2019.,Gempa Bumi
Jawa Timur diguncang gempa magnitudo 7.4 yang memicu runtuhnya rumah pada 12 Maret 2009.,Gempa Bumi
